Id,Timestamp,Version,Provider,Collection
5c6fee8287a6c928b9d94983,1550839401,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth
In Slips,26052

Id,hole_size,type,outer_diameter
5c6cad79b337d74f5029f673,8.5,CasingString,5.5


start_timestamp
1550626339
start_timestamp,end_timestamp
1550626339,1550839401


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
1550703184,19844,88.9,0,0.1,0,141
1550703295,19891.05,85.15,0,0.1,0,156
1550703413,19935.85,85,0,0.1,0,156
1550703535,19977.75,87.45,0,0.1,0,138
1550703646,20024.4,84.3,0,0.1,0,135
1550703755,20065.3,87.4,0,0.1,0,141
1550703863,20110.8,85.8,0,0.1,0,141
1550703969,20153.8,88.4,0,0.1,0,147
1550704078,20196.4,87.5,0,0.1,0,126
1550704187,20241.75,88.4,0,0.1,0,138
1550704291,20286.3,85.6,0,0.1,0,147
1550704512,20328.9,82.5,0,0.1,0,147
1550704634,20379.4,88.5,0,0.1,0,90
1550704749,20419.6,86.5,0,0.1,0,120
1550706475,20443.2,94.1,0,0.1,0,141
1550706647,20483.7,100,0,0.1,0,78
1550706680,20498.15,98.15,0,0.1,0,60
1550706702,20509,128.4,0,0.1,0,54
1550706805,20531.6,100.5,0,0.1,0,114
